ID,Title,Artist,Album,Genre
b60a54ef-35dd-49ff-baa1-2fc4275a8caa,Pink Pony Club,Chappell Roan,Rise and Fall of a Midwest Princess,Pop
c14c9299-4206-43c4-b2e3-bd238f13ba55,Red Wine Supernova,Chappell Roan,Rise and Fall of a Midwest Princess,Pop
23771c2f-783f-47ca-835f-7c52784bfa85,Casual,Chappell Roan,Rise and Fall of a Midwest Princess,Pop
d79ce9e4-8a40-472e-9158-0b8abc729ae0,Super Graphic Ultra Modern Girl,Chappell Roan,Rise and Fall of a Midwest Princess,Pop
b3b2b317-cea6-4e7a-bfb0-5360f6cfad05,Naked in Manhattan,Chappell Roan,Rise and Fall of a Midwest Princess,Pop
ef157a37-2cba-49cb-b9dd-d827e7d04839,The Queen is Dead,The Smiths,The Queen is Dead,Alternative Rock
d147932d-f054-4907-91f1-7020bbd2f47f,"Frankly, Mr. Shankly",The Smiths,The Queen is Dead,Alternative Rock
f61a94ec-286e-43bf-8624-abf713c3b1b8,I Know It's Over,The Smiths,The Queen is Dead,Alternative Rock
47fa7326-a6f3-4664-b694-638d75db508b,Cemetry Gates,The Smiths,The Queen is Dead,Alternative Rock
77c4ff40-ac98-4474-bf20-33a5b857a7ad,Bigmouth Strikes Again,The Smiths,The Queen is Dead,Alternative Rock
55eb24c0-6224-41f9-83a1-59012a9e6e6f,All-American Bitch,Olivia Rodrigo,Guts,Pop Rock
5b3610f0-1f66-4596-86ba-58a68a3fa552,Vampire,Olivia Rodrigo,Guts,Pop Rock
e4afc907-b33c-4ea1-9a23-853ae07383f4,Lacy,Olivia Rodrigo,Guts,Pop Rock
adb4892d-9257-4551-969e-de0bb8917a38,Ballad of a Homeschooled Girl,Olivia Rodrigo,Guts,Pop Rock
eaf7fa0c-1406-4f4b-b885-817536497eca,Making the Bed,Olivia Rodrigo,Guts,Pop Rock
6d8e3ca9-a226-4225-a60d-418c5901d741,The Width of a Circle,David Bowie,The Man Who Sold the World,Glam Rock
e5535978-43b7-4b86-9a5f-e3f62d85482d,All the Madmen,David Bowie,The Man Who Sold the World,Glam Rock
4b2d0d48-ca1b-41e3-9e7f-9326d8ad378c,Black Country Rock,David Bowie,The Man Who Sold the World,Glam Rock
c7a80419-33ee-4e37-94a9-1db0a76072ad,After All,David Bowie,The Man Who Sold the World,Glam Rock
5c68774b-f844-4d74-a601-59c64b97d6c7,Running Gun Blues,David Bowie,The Man Who Sold the World,Glam Rock
92719482-3fce-48c5-8dc0-4384b66e9307,Mojo Pin,Jeff Buckley,Grace,Alternative Rock
4445ac3b-591c-4614-9e41-4ee8fd5034f6,Grace,Jeff Buckley,Grace,Alternative Rock
00da62ae-117b-4aff-9f0e-0945a353df12,Last Goodbye,Jeff Buckley,Grace,Alternative Rock
da32cef5-eef4-46be-97b5-fbb93f90d1b5,Lilac Wine,Jeff Buckley,Grace,Alternative Rock
47594fee-1217-4dcc-87fc-eefea9f25e1b,So Real,Jeff Buckley,Grace,Alternative Rock
e5f33259-3427-4c85-b11c-c10eec840474,Bohemian Rhapsody,Queen,A Night at the Opera,Rock
bc2f850e-2074-4ce8-90c8-c5ea352d8189,Love of My Life,Queen,A Night at the Opera,Rock
e0464ca2-2d5d-4492-94c9-ec1e23cc9d93,You're My Best Friend,Queen,A Night at the Opera,Rock
2acaeaa7-a30e-4d0c-a9ff-61e46810e84c,Death on Two Legs,Queen,A Night at the Opera,Rock
9fb1de51-b4fd-4442-896e-0ec08077052e,'39,Queen,A Night at the Opera,Rock
d5bdac89-db8f-4f26-b553-ad7c36281ad4,Vision of Love,Mariah Carey,Mariah Carey,Pop
8b62470b-1554-4dd5-8d5b-cd4311cf26b2,Love Takes Time,Mariah Carey,Mariah Carey,Pop
cd7c0e17-46b5-407a-a876-8cf086bd5fbf,Someday,Mariah Carey,Mariah Carey,Pop
d8e89c6e-c8e5-4e91-8618-0693e310f09c,I Don't Wanna Cry,Mariah Carey,Mariah Carey,Pop
f0c26bdd-b814-479d-b00a-215fc50e0a85,Vanishing,Mariah Carey,Mariah Carey,Pop
0c7cbe53-3aa8-4d9e-b5bd-00bf8b89c418,Sweet Adeline,Elliott Smith,XO,Indie Rock
103afd38-bcaa-4f0e-8496-87880426cb92,Waltz #2 (XO),Elliott Smith,XO,Indie Rock
d6bd2801-943d-4d4e-b128-6fdfbf440cf3,Baby Britain,Elliott Smith,XO,Indie Rock
68d02a59-883d-409c-a9c8-2f666bbd4280,Pitseleh,Elliott Smith,XO,Indie Rock
b36aaaf2-ce1e-4cba-b9aa-93c0ef73d53a,Independence Day,Elliott Smith,XO,Indie Rock
fa10ef6e-6669-4b42-abf3-fee72366c115,Papaoutai,Stromae,Racine Carrée,Electronic
fcd4ef85-82f4-45ba-8376-cd9e5dd07a29,Tous les mêmes,Stromae,Racine Carrée,Electronic
b95dfe6c-e048-4ed7-9557-9016dcd616e3,Formidable,Stromae,Racine Carrée,Electronic
58b7c861-a94e-43db-a02c-bb0592ec4d4b,Carmen,Stromae,Racine Carrée,Electronic
8b0a28b7-2513-4916-8f64-87c023182943,Ta fête,Stromae,Racine Carrée,Electronic
b74b15eb-4bfb-48ee-8da1-6ed4ce3602da,You Oughta Know,Alanis Morissette,Jagged Little Pill,Alternative Rock
02aa04bb-22ba-402c-af72-76bf94c39e15,Ironic,Alanis Morissette,Jagged Little Pill,Alternative Rock
9c846c38-fefe-4469-ad63-e22b04be9fd7,Hand in My Pocket,Alanis Morissette,Jagged Little Pill,Alternative Rock
047c9a73-ddf9-4687-9cff-4b8df2f92f7c,You Learn,Alanis Morissette,Jagged Little Pill,Alternative Rock
0764e17e-a357-4e14-8799-66e84f84a0fb,Head over Feet,Alanis Morissette,Jagged Little Pill,Alternative Rock
893dae56-ff19-415d-a4f4-5d0d3e6a5ddd,Fast Car,Tracy Chapman,Tracy Chapman,Folk Rock
d4234608-b358-4043-8e92-664518a68427,Talkin' 'bout a Revolution,Tracy Chapman,Tracy Chapman,Folk Rock
8f2978aa-d7a5-4cc8-9345-38c2b3d00bd2,Baby Can I Hold You,Tracy Chapman,Tracy Chapman,Folk Rock
7a9fa503-bbca-4e72-a62c-6e952273f89b,Mountains o' Things,Tracy Chapman,Tracy Chapman,Folk Rock
14bec314-b1ed-4dfd-bd26-332f1cfe1dfc,For My Lover,Tracy Chapman,Tracy Chapman,Folk Rock
c2dd82dd-9b7f-48a2-a80b-a434102cd96b,Wuthering Heights,Kate Bush,The Kick Inside,Art Rock
0116fd9f-0264-4d96-8d65-71670c6a22ec,The Man with the Child in His Eyes,Kate Bush,The Kick Inside,Art Rock
d51bb93d-371e-4f2b-9942-0b7f87022f7a,Moving,Kate Bush,The Kick Inside,Art Rock
da673406-ba57-4734-813f-3671b4e407ac,Strange Phenomena,Kate Bush,The Kick Inside,Art Rock
82bb6e47-6796-4ec8-b3f9-f1b5b7ace39e,Them Heavy People,Kate Bush,The Kick Inside,Art Rock
e6504fb2-b972-474e-aa73-25b6853dd427,Smells Like Teen Spirit,Nirvana,Nevermind,Grunge
63e9793c-af7c-48cb-bef7-4dec8458f09f,Come as You Are,Nirvana,Nevermind,Grunge
7b0b8dfc-a9ab-4f96-9783-621fffbd964b,Lithium,Nirvana,Nevermind,Grunge
d0b4483c-2e15-41e5-83e2-dcff179a5335,In Bloom,Nirvana,Nevermind,Grunge
6a0ce540-eb49-40a6-a8be-e724a91c4985,Polly,Nirvana,Nevermind,Grunge
6798d8d1-f757-4292-a321-171d2033ebd0,La Vie en Rose,Édith Piaf,La Vie en Rose,Chanson
1f22b7c6-ca31-464f-8ec2-c3e4b6365281,"Non, je ne regrette rien",Édith Piaf,La Vie en Rose,Chanson
95ced85d-95ab-4935-9e3f-8050035195f8,Milord,Édith Piaf,La Vie en Rose,Chanson
76cc3743-e444-42cb-a2c1-5a16b9a9eb88,Hymne à l'amour,Édith Piaf,La Vie en Rose,Chanson
a62f940e-c8a3-4917-9197-996cb64efeb0,Padam... Padam...,Édith Piaf,La Vie en Rose,Chanson
302ac4a2-c71d-45aa-95c6-0a98e5690901,Criminal,Fiona Apple,Tidal,Alternative Rock
